Record_ID,Date,Time,Shift,HX_ID,Operator_ID,Hot_Fluid,Hot_Inlet_Temp_C,Hot_Outlet_Temp_C,Hot_Pressure_bar,Hot_Flow_Rate_kg_hr,Cold_Fluid,Cold_Inlet_Temp_C,Cold_Outlet_Temp_C,Cold_Pressure_bar,Cold_Flow_Rate_kg_hr,Heat_Duty_kW,LMTD_C,U_Value_W_m2K,Reynolds_Number,Effectiveness_pct,Thermal_Efficiency_pct,Fouling_Factor_m2K_W,Pressure_Drop_Shell_bar,Pressure_Drop_Tube_bar,Cooling_Water_Makeup_pct,Operating_Hours,Days_Since_Cleaning,Last_Maintenance_Date,Maintenance_Required,Alarm_Count,Sensor_Status,Equipment_Health_Score,Failure_Risk,Ambient_Temp_C,Relative_Humidity_pct,Electricity_Consumption_kWh,Energy_Loss_kW,Failure_Within_7Days
REC-00024,2023-01-03,21:00,C,HX-695-A,OP-008,Propylene,55.18,29.79,16.14,9532.1,Cooling Water,21.5,29.26,3.43,18250.1,164.7,15.46,784.3,3000,75.51,75.94,0.0001127,0.265,0.506,1.67,428.1,17.84,2022-12-17,No,0,Normal,,Low,17.01,55.5,47.56,1868.9,0
REC-00025,2023-01-04,00:00,A,HX-695-A,OP-003,Propylene,54.38,31.49,16.29,9388.2,Cooling Water,23.16,30.4,3.52,17381.3,146.2,14.8,756.1,3000,74.4,73.56,0.0001811,0.275,0.565,2.24,712.1,29.67,2022-12-05,No,0,Normal,68.9,Medium,17.17,58.1,44.97,1878.1,0
REC-00026,2023-01-04,03:00,A,HX-695-A,OP-007,Propylene,51.72,29.53,16.32,9438.0,Cooling Water,23.11,29.95,3.4,17917.6,142.5,12.57,828.3,6845,77.99,76.28,4.92e-05,0.266,0.4,2.12,217.2,9.05,2022-12-26,No,0,Normal,89.5,Low,19.55,63.4,44.13,1885.2,0
REC-00027,2023-01-04,06:00,A,HX-695-A,OP-003,Propylene,53.54,29.75,16.57,9122.1,Cooling Water,21.61,28.81,3.35,17644.8,,14.93,776.5,3000,74.83,75.1,0.000121,0.303,0.54,2.07,406.8,16.95,2022-12-18,No,0,Warning,76.6,Low,17.33,47.5,35.68,1883.7,0
REC-00028,2023-01-04,09:00,B,HX-695-A,OP-006,Propylene,53.48,29.26,16.69,9862.1,Cooling Water,21.85,29.45,3.32,18406.3,162.6,14.13,794.8,3000,76.38,75.69,8.72e-05,0.218,0.421,1.31,322.2,13.42,2022-12-21,No,0,Normal,80.3,Low,21.13,54.1,43.53,1869.4,0
REC-00029,2023-01-04,12:00,B,HX-695-A,OP-007,Propylene,56.0,30.71,16.63,10085.9,Cooling Water,22.13,30.37,3.36,18112.5,173.6,15.58,766.8,3000,75.15,74.19,0.0001396,0.26,0.532,2.41,540.9,22.54,2022-12-12,No,0,Normal,67.8,Medium,19.28,71.5,39.39,1849.2,0
REC-00030,2023-01-04,15:00,B,HX-695-A,OP-001,Propylene,52.54,29.43,16.42,10167.2,Cooling Water,22.78,30.72,3.22,17312.0,159.9,12.77,818.6,5285,77.63,78.29,5.82e-05,0.24,0.4,1.58,237.6,9.9,2022-12-25,No,0,Normal,88.7,Low,18.51,65.2,40.89,1871.7,0
REC-00031,2023-01-04,18:00,C,HX-695-A,OP-006,Propylene,52.21,29.29,16.82,10068.6,Cooling Water,21.45,29.29,3.16,17229.9,157.1,14.05,755.1,3000,74.42,75.09,0.0001644,0.293,0.585,1.47,620.0,25.83,2022-12-09,No,0,Normal,64.4,Medium,15.6,52.1,47.57,1875.5,0
REC-00032,2023-01-04,21:00,C,HX-695-A,OP-001,Propylene,57.28,32.93,16.75,9695.3,Cooling Water,25.06,33.05,3.51,17292.5,160.6,14.55,754.1,3000,76.07,74.64,0.0001634,0.302,0.592,2.34,676.8,28.2,2022-12-07,No,0,Normal,67.4,Medium,21.31,62.2,35.68,1870.0,0
REC-00033,2023-01-05,00:00,A,HX-695-A,OP-006,Propylene,52.25,30.39,16.5,9804.2,Cooling Water,23.75,30.76,3.44,17901.4,145.8,12.64,795.6,3000,76.68,75.41,,0.275,0.554,2.11,406.3,16.93,2022-12-19,No,0,Normal,78.0,Low,21.18,67.9,38.21,1883.1,0
REC-00034,2023-01-05,03:00,A,HX-695-A,OP-008,Propylene,52.65,28.42,16.37,10159.0,Cooling Water,21.66,29.75,3.43,17819.5,167.5,13.22,818.5,3208,78.97,78.58,6.85e-05,0.219,0.442,2.0,229.9,9.58,2022-12-26,No,0,Normal,85.8,Low,19.38,50.3,43.35,1860.3,0
REC-00035,2023-01-05,06:00,A,HX-695-A,OP-006,Propylene,50.61,27.38,17.12,10303.2,Cooling Water,20.5,28.63,3.23,17219.0,162.9,13.0,804.5,3000,77.07,77.18,7.58e-05,0.254,0.376,1.95,311.6,12.98,2022-12-23,No,0,Fault,89.1,Low,18.27,60.5,38.8,1864.4,0
REC-00036,2023-01-05,09:00,B,HX-695-A,OP-009,Propylene,55.36,30.87,16.51,9927.9,Cooling Water,22.89,30.23,3.45,19389.4,165.5,14.95,754.7,3000,75.13,75.06,0.0001636,0.283,0.58,2.27,656.6,27.36,2022-12-09,No,0,Normal,65.3,Medium,21.5,59.4,45.48,1858.3,0
REC-00037,2023-01-05,12:00,B,HX-695-A,OP-012,Propylene,54.45,28.92,16.46,9595.3,Cooling Water,21.55,29.61,3.4,17776.7,166.7,14.38,,3000,76.46,77.66,8.38e-05,0.245,0.467,2.14,349.3,14.55,2022-12-21,No,1,Normal,82.9,Low,18.95,55.8,37.97,1865.8,0
REC-00038,2023-01-05,15:00,B,HX-695-A,OP-004,Propylene,55.68,29.55,17.14,9813.5,Cooling Water,20.33,28.83,3.31,17644.1,174.5,16.5,760.5,3000,72.98,74.38,0.000148,0.269,0.56,2.75,601.1,25.04,2022-12-11,No,0,Normal,69.1,Medium,15.33,50.8,37.63,1854.4,0
REC-00039,2023-01-05,18:00,C,HX-695-A,OP-002,Propylene,56.18,29.29,16.43,10302.7,Cooling Water,20.95,29.93,3.46,18064.7,188.5,15.62,795.4,3000,76.39,75.45,0.0001054,0.295,0.493,2.03,381.2,15.88,2022-12-20,No,1,Normal,82.6,Low,19.39,62.0,42.55,1841.3,0
REC-00040,2023-01-05,21:00,C,HX-695-A,OP-002,Propylene,55.92,29.78,16.68,10110.2,Cooling Water,21.99,30.56,3.47,18045.4,179.9,14.88,809.8,3000,75.29,77.38,7.4e-05,0.211,0.344,1.72,255.0,10.63,2022-12-26,No,0,Normal,91.9,Low,17.22,58.8,47.85,1847.6,0
REC-00041,2023-01-06,00:00,A,HX-695-A,OP-007,Propylene,53.59,,16.1,9787.5,Cooling Water,22.0,29.88,3.24,17117.6,156.8,14.5,738.8,3000,74.34,74.55,0.0001895,0.299,0.622,2.5,794.3,33.09,2022-12-03,No,0,Normal,64.9,Medium,19.44,67.0,37.28,1871.6,0
REC-00042,2023-01-06,03:00,A,HX-695-A,OP-005,Propylene,55.39,30.56,16.55,9694.1,Cooling Water,24.19,32.22,3.52,17558.6,163.9,13.01,817.6,3000,79.53,80.91,6.33e-05,0.245,0.462,2.04,267.2,11.13,2022-12-25,No,0,Warning,87.9,Low,19.9,60.8,40.66,1863.6,0
REC-00043,2023-01-06,06:00,A,HX-695-A,OP-004,Propylene,51.35,29.84,16.63,10304.8,Cooling Water,21.88,29.27,3.46,17549.6,150.9,13.84,746.6,3000,72.83,73.05,0.0001634,0.284,0.597,2.33,643.7,26.82,2022-12-10,No,0,Normal,,Medium,19.81,57.1,41.36,1872.4,0
REC-00044,2023-01-06,09:00,B,HX-695-A,OP-008,Propylene,53.11,31.23,16.16,9799.5,Cooling Water,23.85,30.71,3.32,18293.1,145.9,13.52,748.3,3000,75.37,73.83,0.0001679,0.264,0.588,2.31,660.3,27.51,2022-12-09,No,0,Normal,67.7,Medium,20.53,59.9,44.59,1880.8,0
REC-00045,2023-01-06,12:00,B,HX-695-A,OP-001,Propylene,53.75,,17.08,9841.4,Cooling Water,25.17,32.11,3.39,18022.4,145.5,12.87,791.9,3000,75.61,77.13,0.000104,0.266,0.463,2.03,396.1,16.51,2022-12-20,No,1,Normal,79.2,Low,22.3,52.0,41.6,1880.8,0
REC-00046,2023-01-06,15:00,B,HX-695-A,OP-006,Propylene,53.35,28.7,16.57,9821.7,Cooling Water,20.82,28.76,3.3,17855.2,164.7,14.68,,3000,75.62,76.44,7.81e-05,0.263,0.46,2.44,296.8,12.37,2022-12-25,No,1,Normal,86.3,Low,18.05,66.1,44.37,1869.6,0
REC-00047,2023-01-06,18:00,C,HX-695-A,OP-002,Propylene,55.34,31.95,16.36,9521.9,Cooling Water,24.12,31.18,3.45,18451.8,151.6,14.49,768.5,3000,74.78,73.77,0.0001249,0.286,0.527,1.82,470.0,19.58,2022-12-18,No,0,Normal,75.9,Low,19.71,61.5,42.64,1879.3,0
REC-00048,2023-01-06,21:00,C,HX-695-A,OP-001,Propylene,56.21,30.5,15.57,9707.9,Cooling Water,23.32,31.69,3.1,17457.1,169.8,14.12,799.8,3000,78.18,78.22,7.92e-05,0.282,0.461,1.91,349.1,14.55,2022-12-23,No,0,Normal,83.7,Low,21.35,58.4,45.16,1859.8,0
REC-00049,2023-01-07,00:00,A,HX-695-A,OP-005,Propylene,54.0,33.16,16.11,10044.2,Cooling Water,24.38,31.24,3.27,17855.3,142.4,14.68,724.2,3000,69.62,68.92,0.0002116,0.264,0.639,2.93,858.2,35.76,2022-12-02,No,0,Normal,56.8,Medium,20.36,59.5,41.41,1892.6,0
REC-00050,2023-01-07,03:00,A,HX-695-A,OP-006,Propylene,51.89,30.51,16.75,9928.2,Cooling Water,22.63,29.52,3.38,18008.7,144.4,13.89,,3000,73.04,73.68,0.0001839,0.292,0.598,2.63,763.0,31.79,2022-12-06,No,0,Normal,69.7,Medium,17.52,58.2,41.89,1888.2,0
REC-00051,2023-01-07,06:00,A,HX-695-A,OP-005,Propylene,53.84,29.17,16.3,9629.8,Cooling Water,21.14,28.86,3.37,18010.1,161.7,14.93,785.7,3000,74.92,74.73,9.73e-05,0.272,0.495,1.87,398.5,16.6,2022-12-21,No,0,Normal,75.8,Low,17.2,54.0,36.97,1860.0,0
REC-00052,2023-01-07,09:00,B,HX-695-A,OP-002,Propylene,53.08,30.46,16.18,9983.4,Cooling Water,22.92,30.2,3.4,18164.4,153.7,13.82,754.5,3000,74.34,74.46,0.0001531,0.28,0.567,2.31,588.6,24.53,2022-12-13,No,1,Normal,73.5,Medium,18.85,65.0,48.97,1877.8,0
REC-00053,2023-01-07,12:00,B,HX-695-A,OP-007,Propylene,56.43,31.29,16.31,9254.2,Cooling Water,22.34,29.79,3.55,18283.6,158.3,16.21,736.4,3000,73.38,73.03,0.0001932,0.322,0.619,2.2,832.1,34.67,2022-12-03,No,0,Normal,62.6,Medium,20.38,58.9,41.18,1873.6,0
REC-00054,2023-01-07,15:00,B,HX-695-A,OP-010,Propylene,54.04,29.19,16.82,9930.6,Cooling Water,22.29,30.54,3.41,17488.2,167.9,13.55,795.3,3000,78.12,78.61,9.11e-05,0.212,0.412,2.16,310.5,12.94,2022-12-25,No,0,Normal,85.2,Low,19.83,61.6,,1857.7,0
REC-00055,2023-01-07,18:00,C,HX-695-A,OP-001,Propylene,52.15,28.96,16.1,9248.5,Cooling Water,21.32,28.5,3.58,17469.3,146.0,14.16,,3000,75.6,73.14,0.000148,0.222,0.55,1.3,580.0,24.16,2022-12-14,No,0,Normal,70.3,Medium,18.3,56.6,38.02,1882.6,0
REC-00056,2023-01-07,21:00,C,HX-695-A,OP-004,Propylene,53.96,29.85,15.75,9533.8,Cooling Water,22.12,29.8,3.24,17519.6,156.5,14.42,773.8,3000,75.89,76.68,0.0001415,0.284,0.544,2.39,597.3,24.89,2022-12-13,No,1,Normal,,Medium,21.49,57.6,44.36,1874.0,0
REC-00057,2023-01-08,00:00,A,HX-695-A,OP-012,Propylene,54.52,,17.27,9438.7,Cooling Water,21.68,28.94,3.47,18954.9,160.0,15.07,763.7,3000,75.7,75.75,0.0001413,0.277,0.509,2.01,546.6,22.78,2022-12-16,No,0,Normal,72.3,Medium,18.66,54.3,41.07,1868.0,0
REC-00058,2023-01-08,03:00,A,HX-695-A,OP-001,Propylene,51.58,30.16,16.62,10236.0,Cooling Water,23.72,30.74,3.62,18279.8,149.2,12.26,792.3,3000,76.86,75.27,0.0001122,0.263,0.524,2.47,462.6,19.28,2022-12-19,No,0,Normal,74.2,Medium,20.17,56.4,41.29,1871.8,0
REC-00059,2023-01-08,06:00,A,HX-695-A,OP-010,Propylene,54.74,29.66,16.37,10317.1,Cooling Water,21.51,30.15,3.37,17528.7,176.1,14.89,739.2,3000,75.36,76.07,0.0001827,0.308,0.563,2.02,761.9,31.75,2022-12-07,No,1,Normal,63.2,Medium,20.71,52.8,45.69,1851.8,0
REC-00060,2023-01-08,09:00,B,HX-695-A,OP-003,Propylene,55.55,32.62,16.83,10580.2,Cooling Water,23.8,31.56,3.54,18297.7,165.1,15.16,718.1,3000,72.46,72.02,0.00022,0.279,0.663,2.39,866.3,36.1,2022-12-03,No,0,Normal,56.1,Medium,22.08,50.4,42.02,1866.7,0
REC-00061,2023-01-08,12:00,B,HX-695-A,OP-003,Propylene,54.58,,16.26,10192.3,Cooling Water,21.35,30.05,3.35,17467.7,176.7,14.56,769.3,3000,76.86,76.54,0.0001245,0.257,0.57,2.27,562.0,23.42,2022-12-16,No,0,Normal,75.6,Low,19.29,57.8,41.04,1852.6,0
REC-00062,2023-01-08,15:00,B,HX-695-A,OP-011,Propylene,54.06,31.06,15.6,9960.9,Cooling Water,22.36,29.69,3.37,18294.3,155.9,15.22,744.5,3000,71.48,71.11,0.0001711,0.28,0.623,2.11,706.1,29.42,2022-12-10,No,0,Normal,71.6,Medium,21.46,60.0,37.03,1880.0,0
REC-00063,2023-01-08,18:00,C,HX-695-A,OP-003,Propylene,54.53,31.59,16.63,10107.3,Cooling Water,22.96,30.88,3.23,17113.5,157.7,14.9,732.7,3000,72.27,72.62,0.000193,0.265,0.61,2.39,762.3,31.76,2022-12-07,No,0,Normal,66.7,Medium,19.75,58.8,40.7,1868.3,0
REC-00064,2023-01-08,21:00,C,HX-695-A,OP-003,Propylene,55.43,30.72,15.99,9823.8,Cooling Water,20.96,28.82,2.99,18074.1,165.2,16.8,734.7,3000,71.25,71.89,0.0001998,0.251,0.62,2.11,760.1,31.67,2022-12-08,No,0,Fault,65.3,Medium,19.66,47.7,41.3,1863.8,0
REC-00065,2023-01-09,00:00,A,HX-695-A,OP-003,Propylene,52.46,29.94,16.46,9392.3,Cooling Water,21.9,28.49,3.6,18804.4,144.0,14.59,771.8,3000,74.6,72.76,0.0001428,0.275,0.575,2.06,556.4,23.18,2022-12-16,No,0,Warning,74.0,Medium,16.02,61.0,39.5,1880.3,0
REC-00066,2023-01-09,03:00,A,HX-695-A,OP-003,Propylene,53.77,30.32,16.56,10070.0,Cooling Water,21.79,29.38,3.51,18204.6,160.7,15.1,,3000,72.63,72.5,0.0001966,0.266,0.606,1.7,815.5,33.98,2022-12-06,No,0,Normal,62.4,Medium,18.2,56.1,42.1,1869.0,0
REC-00067,2023-01-09,06:00,A,HX-695-A,OP-003,Propylene,54.88,29.63,15.95,10216.4,Cooling Water,21.11,29.63,3.19,17723.5,175.6,15.4,762.8,3000,73.37,73.15,,0.264,0.533,2.08,660.7,27.53,2022-12-12,No,0,Normal,71.6,Medium,17.24,58.1,44.27,1851.8,0
REC-00068,2023-01-09,09:00,B,HX-695-A,OP-012,Propylene,54.81,30.05,16.23,9690.7,Cooling Water,22.03,29.63,3.48,18479.1,163.3,14.99,779.2,3000,75.73,75.17,0.0001067,0.259,0.498,2.97,379.7,15.82,2022-12-24,No,0,Normal,81.5,Low,17.52,57.6,43.83,1860.9,0
REC-00069,2023-01-09,12:00,B,HX-695-A,OP-012,Propylene,55.72,31.63,16.89,10356.7,Cooling Water,21.83,29.96,3.4,17987.5,169.8,16.51,708.9,3000,71.09,71.25,0.0002204,0.262,0.691,2.14,874.4,36.43,2022-12-04,No,1,Normal,58.0,Medium,20.08,63.8,45.11,1855.3,0
REC-00070,2023-01-09,15:00,B,HX-695-A,OP-003,Propylene,53.38,30.48,16.06,10245.5,Cooling Water,22.2,29.8,3.38,18068.1,159.7,14.61,765.4,3000,72.41,73.85,0.0001386,0.316,0.548,2.66,564.1,23.5,2022-12-17,No,0,Normal,73.6,Medium,18.84,63.8,39.91,1873.4,0
REC-00071,2023-01-09,18:00,C,HX-695-A,OP-007,Propylene,55.58,31.68,16.24,9720.4,Cooling Water,22.4,30.4,3.5,16992.5,158.1,15.93,723.7,3000,71.13,71.75,0.0002242,0.323,0.648,2.04,918.0,38.25,2022-12-02,Yes,1,Normal,51.5,High,18.03,57.5,42.56,1872.2,0
REC-00072,2023-01-09,21:00,C,HX-695-A,OP-011,Propylene,52.2,29.53,16.91,9191.8,Cooling Water,22.15,28.96,3.38,17901.8,141.8,13.83,770.1,3000,75.57,73.1,0.0001602,0.281,0.561,1.97,651.8,27.16,2022-12-13,No,0,Normal,66.9,Medium,19.26,51.7,45.37,1881.0,0
REC-00073,2023-01-10,00:00,A,HX-695-A,OP-006,Propylene,57.08,31.07,16.49,9310.8,Cooling Water,23.18,31.29,3.37,17468.6,164.8,15.11,795.1,3000,76.4,75.78,0.0001049,0.255,0.498,1.66,437.5,18.23,2022-12-22,No,0,Normal,79.5,Low,18.25,54.9,46.18,1863.3,0
REC-00074,2023-01-10,03:00,A,HX-695-A,OP-010,Propylene,54.5,30.18,16.75,9528.9,Cooling Water,21.84,29.58,3.66,17511.5,157.7,15.15,738.4,3000,74.09,73.68,0.000199,0.312,0.612,2.86,844.2,35.18,2022-12-05,No,0,Normal,59.9,Medium,18.52,65.0,43.28,1868.8,0
REC-00075,2023-01-10,06:00,A,HX-695-A,OP-012,Propylene,53.28,30.06,16.05,9478.8,Cooling Water,21.95,28.66,3.62,19204.8,149.8,14.87,772.1,3000,74.77,75.81,0.0001408,0.274,0.507,2.37,587.4,24.48,2022-12-16,No,1,Normal,74.3,Medium,17.58,52.3,32.96,1880.1,0
REC-00076,2023-01-10,09:00,B,HX-695-A,OP-012,Propylene,53.48,29.78,16.34,9694.7,Cooling Water,22.39,30.36,3.41,16873.9,156.4,13.79,790.7,3000,75.98,75.68,0.0001045,0.25,0.51,1.52,402.1,16.75,2022-12-24,No,0,Normal,82.7,Low,19.48,62.7,42.52,1874.6,0
REC-00077,2023-01-10,12:00,B,HX-695-A,OP-008,Propylene,54.77,30.11,16.84,10032.5,Cooling Water,21.11,29.04,3.63,18266.3,168.4,15.93,771.7,3000,74.0,74.04,0.0001283,0.278,0.503,1.85,498.3,20.76,2022-12-20,No,0,Normal,,Medium,16.3,58.9,45.63,1860.5,0
REC-00078,2023-01-10,15:00,B,HX-695-A,OP-007,Propylene,55.41,,16.24,9594.4,Cooling Water,21.21,29.08,3.43,17805.5,162.9,16.33,751.1,3000,72.97,70.91,0.000159,0.289,0.561,2.05,596.0,24.83,2022-12-16,No,0,Normal,69.7,Medium,19.19,58.7,44.7,1868.7,0
